title,abstract,accepted,authors_count,citation_count,year,venue,topic,text,abstract_length,title_length
Generative Adversarial Networks,We propose a new framework for estimating generative models via an adversarial process in which two models are simultaneously trained.,1,2,35000,2014,NeurIPS,generative models,Generative Adversarial Networks We propose a new framework for estimating generative models via an adversarial process in which two models are simultaneously trained.,20,3
A Simple Baseline for Semi-Supervised Learning,We revisit semi-supervised learning and propose a simple baseline that achieves strong performance on standard benchmarks.,0,2,120,2021,ICLR,machine learning,A Simple Baseline for Semi-Supervised Learning We revisit semi-supervised learning and propose a simple baseline that achieves strong performance on standard benchmarks.,16,6
Dropout: A Simple Way to Prevent Neural Networks from Overfitting,We describe dropout a technique for addressing overfitting in neural networks by randomly dropping units during training.,1,4,22000,2014,JMLR,regularization,Dropout: A Simple Way to Prevent Neural Networks from Overfitting We describe dropout a technique for addressing overfitting in neural networks by randomly dropping units during training.,17,10
Attention Is All You Need,We propose a new simple network architecture the Transformer based solely on attention mechanisms dispensing with recurrence and convolutions entirely.,1,8,45000,2017,NeurIPS,deep learning,Attention Is All You Need We propose a new simple network architecture the Transformer based solely on attention mechanisms dispensing with recurrence and convolutions entirely.,20,5
Variational Autoencoders for Collaborative Filtering,We apply variational autoencoders to collaborative filtering for implicit feedback datasets and achieve state-of-the-art results.,1,3,1800,2018,WWW,recommendation systems,Variational Autoencoders for Collaborative Filtering We apply variational autoencoders to collaborative filtering for implicit feedback datasets and achieve state-of-the-art results.,15,5
Adam: A Method for Stochastic Optimization,We introduce Adam an algorithm for first-order gradient-based optimization of stochastic objective functions.,1,2,28000,2015,ICLR,optimization,Adam: A Method for Stochastic Optimization We introduce Adam an algorithm for first-order gradient-based optimization of stochastic objective functions.,13,6
Predicting Hospital Readmission Using EHR Data,We build a machine learning pipeline to predict 30-day hospital readmission using electronic health records.,0,3,140,2021,AMIA,healthcare,Predicting Hospital Readmission Using EHR Data We build a machine learning pipeline to predict 30-day hospital readmission using electronic health records.,15,6
On the Limitations of Current Neural Networks,This paper discusses several fundamental limitations of current deep learning approaches and suggests future research directions.,0,1,45,2022,arXiv,deep learning,On the Limitations of Current Neural Networks This paper discusses several fundamental limitations of current deep learning approaches and suggests future research directions.,16,7
Neural Machine Translation by Jointly Learning to Align and Translate,We propose an extension to the encoder-decoder model which learns to align and translate jointly improving translation quality.,1,3,14000,2015,ICLR,NLP,Neural Machine Translation by Jointly Learning to Align and Translate We propose an extension to the encoder-decoder model which learns to align and translate jointly improving translation quality.,18,10
Playing Atari with Deep Reinforcement Learning,We present the first deep learning model to successfully learn control policies directly from high-dimensional sensory input using reinforcement learning.,1,5,12000,2013,NeurIPS,reinforcement learning,Playing Atari with Deep Reinforcement Learning We present the first deep learning model to successfully learn control policies directly from high-dimensional sensory input using reinforcement learning.,20,6
Towards Robust Text Classification Under Distribution Shift,We study the robustness of text classifiers under distribution shift and propose a simple data augmentation strategy.,0,3,95,2022,ACL,NLP,Towards Robust Text Classification Under Distribution Shift We study the robustness of text classifiers under distribution shift and propose a simple data augmentation strategy.,17,7
BERT: Pre-training of Deep Bidirectional Transformers,We introduce BERT a new language representation model which stands for Bidirectional Encoder Representations from Transformers.,1,4,38000,2018,NAACL,NLP,BERT: Pre-training of Deep Bidirectional Transformers We introduce BERT a new language representation model which stands for Bidirectional Encoder Representations from Transformers.,16,6
A Survey of Transformer Models in NLP,We survey recent transformer-based models in natural language processing and summarize their architectures and benchmarks.,0,2,210,2021,arXiv,NLP,A Survey of Transformer Models in NLP We survey recent transformer-based models in natural language processing and summarize their architectures and benchmarks.,15,7
Predicting Stock Prices Using LSTM,We apply long short-term memory networks to predict stock market prices using historical data from NYSE.,0,2,80,2020,ICML,finance,Predicting Stock Prices Using LSTM We apply long short-term memory networks to predict stock market prices using historical data from NYSE.,16,5
